WB1,WB2,WB3,WB4,WB5,PB
30,16,41,48,53,16
57,41,50,26,01,11
42,23,59,46,33,04
02,22,63,19,18,19
16,10,52,40,55,17
06,62,32,47,65,19
52,10,61,28,13,02
09,03,33,07,31,20
33,05,42,38,28,19
37,64,17,09,05,02
49,20,42,14,66,05
52,17,16,13,06,25
09,60,64,43,57,10
39,12,49,69,20,17
18,62,66,68,28,22
45,25,23,67,52,02
41,09,58,40,53,12
55,69,23,64,59,13
01,16,13,43,03,24
37,63,12,24,03,10
17,16,42,41,29,04
01,28,03,67,57,09
30,23,44,58,16,04
38,52,42,51,28,21
25,68,40,54,33,03
16,40,08,48,01,10
39,18,66,37,26,15
32,21,12,44,66,15
49,64,48,41,53,20
27,26,33,08,10,22
03,45,25,14,18,07
21,17,37,44,19,16
07,61,41,47,32,03
24,61,43,16,28,21
28,61,63,41,65,07
20,08,27,52,17,24
28,31,54,25,01,02
31,50,69,21,51,08
18,54,61,13,37,05
42,48,20,21,19,23
48,56,02,16,03,24
01,55,33,28,56,22
43,63,16,38,10,23
64,49,57,23,67,20
34,44,30,16,37,16
03,64,68,61,54,09
60,29,18,27,08,15
12,64,50,61,02,01
30,53,62,38,52,01
15,07,29,41,20,22
63,67,01,69,28,17
51,19,09,62,55,14
10,31,23,28,11,14
03,17,49,68,55,08
23,55,33,22,29,21
39,59,07,67,50,25
10,56,24,61,05,12
48,32,63,04,49,20
25,11,09,65,64,16
68,03,21,06,60,24
44,49,33,50,52,08
44,38,64,69,60,06
64,56,61,23,67,12
52,33,47,36,20,12
66,27,11,09,67,02
32,21,17,23,11,05
10,47,68,65,50,24
39,05,35,07,23,11
06,58,66,25,35,05
11,50,40,17,62,26
57,15,29,03,54,10
32,28,10,64,61,12
66,57,02,31,24,18
63,39,59,34,10,04
29,37,23,64,60,06
36,03,56,69,27,25
14,42,43,52,40,17
53,02,23,63,41,11
33,04,24,31,22,10
36,58,27,41,20,07
37,69,12,25,60,20
20,16,43,64,22,17
40,69,33,23,30,12
06,34,33,59,58,12
64,24,59,41,11,15
09,32,05,07,23,26
25,67,39,23,54,11
64,27,65,13,47,09
69,32,52,66,20,23
25,66,44,05,26,09
47,69,30,66,57,03
32,16,03,34,12,14
25,39,64,02,33,17
46,62,59,35,19,13
62,30,12,25,52,08
32,03,25,51,18,03
30,35,38,33,64,22
14,23,41,61,22,09
65,28,49,60,04,25
09,61,28,40,30,03
55,24,63,53,44,19
23,42,68,52,11,06
22,15,49,05,08,25
11,60,23,54,43,03
46,50,12,13,10,21
28,11,50,57,62,23
32,34,14,23,68,03
03,34,27,59,69,19
62,52,13,12,44,06
22,11,53,21,10,18
67,21,65,31,64,05
54,12,11,16,15,25
29,27,07,40,17,25
07,15,36,18,19,20
02,62,40,50,03,05
13,04,36,31,52,08
26,60,67,31,28,23
16,05,12,31,43,18
40,52,03,67,12,21
32,22,40,69,34,19
44,05,39,69,47,24
61,52,51,64,03,06
08,27,34,04,19,10
32,16,19,57,34,13
47,02,63,62,11,17
42,15,06,05,29,10
12,61,54,38,36,22
65,40,44,59,27,20
67,16,63,38,55,25
30,68,59,41,28,10
09,42,10,55,32,06
62,02,30,19,14,22
16,46,10,56,07,01
47,33,68,27,13,13
14,18,19,64,32,09
47,02,66,67,06,02
53,16,69,58,29,21
37,57,47,50,52,21
40,17,46,69,41,06
66,37,22,14,45,05
26,04,32,55,64,18
50,53,07,16,25,15
12,02,17,20,65,17
09,47,20,25,68,07
56,62,54,63,04,10
20,31,56,64,60,02
57,32,30,42,56,11
57,62,69,49,48,19
20,15,31,40,29,01
27,68,12,43,29,01
52,40,48,18,30,09
33,06,46,44,26,04
40,59,21,39,55,17
23,57,42,31,50,05
08,29,51,58,41,05
12,43,17,26,48,24
07,05,39,24,31,07
35,03,16,02,13,27
50,44,45,51,47,08
29,10,18,16,45,19
17,46,22,30,56,16
25,18,29,21,28,16
22,56,02,45,32,12
12,14,21,04,55,07
06,43,48,50,08,07
03,17,13,52,42,24
29,38,08,13,52,28
34,48,54,52,09,15
42,14,09,16,11,19
13,07,49,24,57,15
04,52,22,27,28,35
27,44,41,29,34,02
31,12,57,44,43,11
39,06,37,45,55,33
45,34,13,50,16,11
46,39,52,11,54,03
30,27,25,15,04,18
24,18,06,03,14,21
24,41,31,26,07,25
35,18,46,49,28,27
05,10,03,22,32,07
20,16,10,57,09,15
22,20,21,54,41,07
41,29,52,54,48,29
49,32,31,53,48,25
18,43,13,08,27,15
06,40,37,13,08,11
57,25,08,56,09,22
08,15,59,34,53,23
31,09,43,17,15,16
12,01,44,28,35,25
48,24,38,52,29,32
31,29,01,47,25,07
58,04,17,35,15,17
24,41,39,23,27,30
02,31,06,11,30,33
26,01,38,34,51,06
45,21,35,33,38,12
25,10,14,39,53,18
31,22,13,23,29,17
01,21,29,16,40,30
58,01,32,42,12,12
01,19,45,58,46,29
41,33,39,54,40,28
44,39,30,33,02,01
38,02,12,04,06,17
54,23,19,07,50,14
30,38,16,11,42,07
30,47,33,25,14,08
46,47,08,14,39,18
24,44,31,11,40,27
50,42,36,38,34,33
08,35,15,12,50,32
25,28,11,17,46,12
39,17,21,32,19,08
18,51,14,34,10,26
29,01,49,09,32,22
44,45,01,24,51,28
25,11,54,13,39,19
34,58,05,21,10,33
51,52,36,24,56,22
16,05,50,11,26,34
49,24,12,36,35,01
19,16,20,33,29,10
57,12,28,15,11,23
15,27,23,36,16,09
10,04,53,02,41,22
19,09,29,02,28,19
47,49,59,15,14,10
04,43,46,55,18,25
40,27,17,53,37,35
36,14,10,11,07,15
46,11,12,47,50,22
19,15,56,31,14,05
47,31,48,38,22,15
05,13,43,55,28,33
48,34,55,44,54,10
43,22,49,15,12,14
54,30,32,46,25,26
13,30,24,42,48,27
46,17,22,16,54,35
54,53,23,57,49,35
38,06,36,48,51,17
35,16,33,51,13,28
55,37,39,52,51,11
09,33,19,38,54,15
19,02,11,21,42,34
01,38,25,13,03,17
48,28,59,25,57,16
54,57,51,06,10,12
40,42,30,29,50,16
36,20,54,27,26,19
05,07,28,27,19,20
37,39,38,19,10,28
46,50,16,31,05,18
13,33,18,24,25,31
20,01,45,18,04,07
54,11,52,35,02,13
07,14,24,41,21,26
23,22,30,39,37,16
36,18,25,50,48,23
37,06,01,53,16,27
14,39,02,40,43,13
29,43,31,50,09,18
43,02,51,45,16,35
05,52,28,59,31,27
24,17,45,46,26,19
52,28,36,32,35,31
21,40,08,38,04,03
07,08,17,59,48,09
37,08,40,52,39,24
34,12,31,51,03,24
49,01,08,24,28,24
12,46,44,47,26,29
49,13,30,53,42,29
38,39,28,24,30,16
22,12,04,31,10,03
10,53,17,25,45,09
05,32,26,18,15,35
23,07,02,03,51,26
09,55,42,25,57,14
34,58,24,36,57,11
58,18,53,08,45,35
56,08,12,43,34,09
50,53,10,20,25,35
41,06,54,05,37,26
06,52,59,29,09,07
33,54,42,09,45,30
14,25,33,18,49,23
58,30,35,28,59,15
22,07,01,10,49,24
34,15,48,27,31,01
24,02,28,32,59,25
55,15,49,16,28,18
20,34,58,04,39,31
32,23,47,39,49,22
55,07,52,33,39,33
41,47,55,31,04,01
48,31,17,49,29,34
15,05,46,49,16,26
09,02,19,50,11,32
30,03,22,07,33,20
29,48,36,19,25,12
35,06,51,05,29,21
42,34,59,39,44,08
26,45,14,55,54,20
49,14,48,09,44,29
26,11,21,34,33,29
19,22,13,53,08,24
03,12,27,38,02,17
33,41,59,44,28,21
55,13,28,58,31,15
34,23,43,19,02,14
34,05,51,02,58,09
28,54,14,15,37,10
14,24,32,41,10,30
26,03,09,07,54,19
03,08,25,47,30,13
42,11,12,38,17,02
13,02,54,14,03,04
17,49,54,35,01,34
09,23,02,14,21,03
52,49,36,57,44,01
54,37,34,25,24,29
08,57,17,59,32,24
12,15,38,05,27,07
47,23,11,28,32,20
57,08,55,12,18,02
55,02,07,01,09,29
38,14,13,19,31,25
29,08,09,07,24,25
54,15,48,33,10,34
39,28,58,47,10,22
19,58,37,20,41,14
52,48,15,24,40,23
56,51,35,44,08,18
38,56,28,39,23,32
36,51,45,25,40,08
39,07,40,24,37,01
33,41,25,14,32,34
10,18,19,01,13,27
45,13,48,32,20,17
09,06,11,44,31,25
26,05,45,44,57,29
57,25,18,55,50,17
12,52,55,43,05,10
32,04,45,23,18,07
29,37,59,10,44,10
31,05,55,50,56,09
37,56,03,49,09,32
49,01,05,10,15,22
27,40,13,23,24,17
54,02,49,36,40,10
56,06,04,34,49,29
47,34,23,31,03,13
33,09,56,54,57,05
03,42,26,34,28,28
10,58,26,57,08,04
09,38,03,33,19,18
11,39,40,17,12,05
06,51,42,04,25,17
47,53,14,52,54,05
49,07,17,53,02,23
58,54,45,17,12,13
07,10,35,32,22,19
01,25,44,17,37,20
19,33,42,52,11,33
02,22,19,45,26,24
02,45,26,09,47,11
40,25,07,56,02,20
32,19,07,09,06,13
45,17,59,12,25,19
30,48,42,46,40,23
18,54,56,21,46,23
17,43,11,04,51,20
37,58,14,04,12,13
58,05,25,59,30,32
24,36,21,45,42,15
08,24,59,39,49,05
58,53,40,23,09,06
44,29,54,40,09,07
14,27,58,25,38,06
22,01,42,38,34,17
08,37,02,35,22,06
55,45,31,30,59,27
52,02,36,35,13,11
40,06,51,29,03,04
28,08,56,53,30,16
01,46,39,33,18,33
33,57,19,23,13,28
57,47,46,52,07,17
48,55,28,40,36,01
22,16,42,23,55,32
02,26,11,32,22,19
04,36,26,33,55,32
33,53,59,22,28,14
49,14,09,17,57,02
27,21,19,06,02,25
31,35,41,09,57,26
22,10,13,14,52,11
02,34,11,41,26,32
06,23,19,43,13,16
21,57,26,22,30,27
26,36,40,07,12,17
31,22,55,26,54,18
55,54,48,23,03,05
09,59,31,56,19,02
06,39,08,30,48,20
58,18,48,13,36,28
10,57,31,12,56,33
40,01,52,36,53,20
39,29,04,08,07,24
35,08,12,01,06,03
23,46,11,26,55,27
43,48,07,37,52,16
29,53,52,17,31,31
43,17,14,13,54,15
44,53,07,21,03,16
38,09,32,28,05,29
46,52,37,10,40,12
45,10,06,23,41,01
56,13,08,41,03,16
48,20,14,34,03,21
41,31,39,02,05,29
25,03,32,17,19,17
58,16,15,46,50,29
12,43,27,25,23,29
58,36,16,06,05,03
36,38,05,27,41,12
41,33,16,40,11,34
47,16,14,32,52,16
22,49,41,26,03,18
24,43,11,12,45,09
29,08,28,34,38,35
51,21,32,28,09,35
47,21,23,14,10,07
11,20,13,27,59,26
30,49,54,26,51,25
20,18,53,28,35,20
55,52,46,50,36,14
54,43,13,11,23,04
18,44,35,39,01,11
23,20,05,30,08,03
40,23,44,55,15,14
36,25,44,08,10,28
23,40,53,26,07,21
27,19,38,13,17,12
46,10,03,19,36,03
05,23,16,22,29,06
22,32,37,44,50,34
24,30,08,18,39,26
15,59,27,58,03,20
44,10,58,08,30,13
55,32,50,54,42,32
32,45,34,52,58,20
54,04,07,09,30,25
45,31,01,48,27,05
34,56,36,32,22,33
18,50,23,03,21,04
04,28,31,44,21,10
42,23,10,07,01,35
05,02,26,25,49,18
35,18,43,29,26,28
36,59,26,15,34,35
55,23,17,59,36,10
57,14,29,18,28,08
41,26,42,13,39,10
40,42,18,16,02,33
50,01,08,39,05,23
43,26,03,20,48,01
48,56,24,36,33,06
34,44,20,48,06,29
42,04,26,51,19,29
08,44,21,11,49,22
49,54,28,25,56,28
07,20,06,01,49,23
47,31,22,29,55,19
55,41,26,14,59,01
56,27,46,06,51,21
51,13,46,39,04,01
07,15,03,11,28,12
55,30,53,48,19,18
58,03,56,48,16,04
06,50,05,36,13,13
14,03,46,38,35,16
09,54,38,56,31,20
05,02,57,23,20,03
04,46,16,37,32,13
05,36,49,55,22,23
05,03,29,59,39,29
35,19,14,39,56,33
20,07,15,41,44,22
58,34,06,46,40,06
44,01,53,03,41,30
17,11,29,56,57,14
14,16,27,15,08,26
14,57,33,10,07,18
56,45,57,22,18,27
59,48,19,33,30,27
17,45,10,29,09,33
10,56,09,24,52,14
49,59,13,41,14,14
59,07,53,26,04,32
46,13,08,51,35,30
21,43,28,03,07,02
35,24,58,53,10,22
56,07,01,11,55,01
12,59,44,20,09,23
07,33,50,38,08,29
57,40,58,31,39,33
29,43,25,04,34,29
08,42,51,20,06,16
22,39,49,46,20,29
15,16,19,14,24,02
44,42,16,47,23,02
13,30,05,20,17,18
33,24,49,45,01,06
14,05,58,54,36,27
50,58,16,29,11,33
15,37,35,01,47,08
32,43,53,55,56,06
11,55,58,14,49,30
01,08,59,46,41,24
05,41,20,14,17,05
45,35,47,46,12,12
47,30,29,49,45,35
26,01,11,04,23,14
54,11,06,42,53,07
17,39,16,07,51,32
23,50,28,59,56,05
12,11,32,56,52,11
37,52,10,01,57,11
38,51,17,28,39,33
23,56,43,45,15,07
08,13,59,17,34,35
41,54,59,33,05,13
28,19,29,47,04,05
44,12,43,24,45,07
50,34,29,06,44,28
41,30,10,36,38,01
47,05,29,45,19,25
03,24,38,21,39,24
50,35,21,47,46,02
05,25,40,23,28,34
16,27,45,41,21,14
52,51,16,14,30,19
31,15,13,54,10,18
59,28,51,13,49,33
46,52,24,56,02,19
33,41,04,19,59,09
39,20,14,40,03,37
18,05,33,43,45,08
47,06,02,34,35,22
55,20,37,45,39,28
30,35,57,04,59,25
16,09,17,28,30,11
22,25,39,13,51,28
56,04,35,51,36,08
58,59,35,05,57,12
43,39,02,33,40,26
12,39,14,46,34,36
11,40,16,51,56,38
39,21,01,18,55,06
08,03,23,30,58,13
26,35,16,52,58,02
38,24,05,10,43,01
43,10,12,23,47,18
35,03,37,27,45,31
46,07,43,54,20,17
27,43,12,23,01,31
41,51,30,50,53,08
27,12,03,04,44,26
47,52,55,48,12,13
43,22,06,20,32,11
16,50,42,59,41,05
32,53,22,04,19,24
54,03,05,27,18,13
15,52,25,53,54,02
19,35,57,47,13,29
02,54,12,58,25,14
49,53,13,09,47,39
23,02,47,28,17,36
31,28,48,18,52,37
35,09,50,12,58,04
46,41,36,18,11,38
57,59,54,25,30,06
49,19,13,28,21,11
55,20,40,47,41,19
40,51,59,41,38,33
38,01,48,27,07,30
40,42,38,01,04,17
28,48,54,24,50,25
54,18,08,19,32,08
31,09,23,01,11,06
55,50,24,11,15,08
11,29,01,51,18,32
30,24,57,59,45,26
18,39,57,36,41,12
59,12,46,19,15,12
22,38,21,12,41,18
41,43,20,19,38,29
50,16,18,36,27,08
53,37,14,44,45,29
17,58,39,19,41,21
56,38,46,08,18,31
43,12,20,51,55,11
50,04,31,42,23,23
08,49,02,40,50,36
07,12,42,49,13,16
40,18,17,08,44,16
43,32,09,45,17,31
11,55,47,02,27,15
15,41,29,27,03,24
41,15,06,13,32,03
40,44,55,24,04,05
58,11,03,48,47,19
09,24,43,34,36,27
21,55,33,45,44,07
04,49,39,50,23,39
53,05,56,14,32,11
56,18,55,10,41,15
43,22,34,06,45,23
58,56,20,19,42,37
10,04,11,33,19,27
15,28,05,26,32,09
11,20,46,27,03,08
53,28,48,39,40,09
04,41,01,12,47,03
12,20,28,40,48,08
42,31,23,48,02,21
50,58,07,31,51,06
04,45,21,17,13,10
32,36,39,29,49,29
12,34,03,42,37,36
23,48,21,09,13,24
32,52,36,48,11,19
51,39,42,11,07,30
15,41,59,37,56,05
33,57,53,03,14,36
28,45,24,52,49,02
04,47,58,05,36,06
34,30,51,31,45,23
36,51,56,22,59,32
22,13,09,37,23,31
48,23,40,21,19,27
07,52,06,33,26,24
40,22,32,26,38,07
37,47,18,22,54,36
18,37,20,16,03,30
52,50,01,38,17,24
33,11,44,47,46,12
43,19,04,11,33,14
32,18,45,10,11,18
01,08,19,10,20,23
25,08,11,58,41,16
27,24,42,31,13,22
10,05,12,11,20,02
47,37,30,54,10,39
20,08,21,37,32,04
12,10,38,53,57,01
14,59,54,53,16,05
30,51,17,48,54,29
05,08,44,40,11,10
07,12,23,34,38,33
34,45,38,39,50,33
49,07,27,01,36,39
25,24,20,59,53,15
20,02,46,07,16,34
20,39,07,17,59,17
28,16,12,11,15,11
46,34,32,22,12,02
42,32,49,06,02,35
26,41,14,37,46,24
30,12,36,20,47,25
52,13,55,44,51,30
08,35,27,16,42,30
10,36,52,24,55,15
18,44,01,39,37,13
07,20,21,34,43,34
36,20,59,17,07,33
10,57,51,35,39,20
33,22,42,14,11,38
40,20,21,17,51,19
32,56,04,27,22,13
17,36,29,16,31,23
07,22,10,27,12,26
47,04,33,32,55,39
58,50,36,09,33,31
22,52,10,23,07,29
52,26,31,22,04,30
53,30,19,37,28,36
01,57,16,41,17,15
01,11,20,27,25,02
59,30,46,38,20,27
16,58,22,30,51,25
27,37,22,45,35,03
21,23,38,20,42,06
28,21,20,56,27,04
10,41,44,56,48,04
52,53,03,14,10,03
38,43,06,48,47,27
57,30,13,38,32,25
48,11,45,30,47,10
54,31,09,30,50,39
29,18,11,36,08,06
38,13,12,09,35,30
22,49,27,14,32,05
18,34,40,59,48,25
39,14,43,09,04,38
24,03,28,01,41,10
06,20,10,01,13,32
20,19,47,57,40,29
07,58,55,29,02,27
28,15,36,23,21,20
52,58,53,37,51,38
41,05,57,34,22,31
47,13,34,40,57,11
23,25,16,49,58,20
28,44,12,22,25,24
57,56,01,53,12,05
11,34,55,41,49,20
22,41,49,21,05,15
14,06,32,52,38,20
21,22,52,49,58,34
36,52,44,04,40,33
15,59,52,10,31,04
13,45,54,05,17,12
21,07,32,52,44,10
14,49,39,24,20,07
09,36,44,45,39,09
55,26,48,45,24,08
16,36,20,06,31,08
41,37,17,50,21,01
41,33,10,59,29,15
14,49,09,07,45,23
47,18,58,53,51,30
50,17,57,35,04,12
13,54,41,37,27,32
36,07,26,08,19,15
14,10,40,51,30,01
29,08,37,38,05,34
22,54,52,14,59,04
37,52,22,36,17,24
26,35,48,47,06,21
15,26,31,06,20,09
53,16,15,42,20,17
46,15,43,44,32,19
41,08,07,55,23,23
32,15,08,11,50,27
41,44,20,54,50,22
56,27,29,20,58,31
23,03,07,42,27,37
05,52,14,38,39,06
53,41,36,32,37,30
52,08,49,51,32,23
24,41,17,47,39,21
23,43,25,35,13,15
14,41,12,13,35,29
58,12,05,01,13,21
41,58,27,39,44,17
37,46,14,34,55,37
46,50,27,28,26,21
18,13,04,59,49,05
26,36,07,49,58,04
58,59,32,50,42,31
57,30,19,48,32,14
12,08,22,29,14,22
32,37,46,50,07,26
51,10,45,11,14,17
19,26,54,41,02,23
51,46,26,03,11,23
38,22,59,49,14,16
34,51,45,06,16,04
16,05,49,30,25,39
15,30,05,40,25,06
45,49,50,13,32,30
02,50,38,21,20,22
50,57,24,12,48,22
52,54,41,42,57,30
34,20,36,39,18,19
07,08,29,20,25,11
25,24,49,30,05,23
17,56,37,40,51,25
13,28,56,41,38,25
16,18,51,53,04,23
35,27,16,09,57,29
23,47,36,18,59,36
01,53,20,37,52,33
43,23,01,21,30,11
06,51,03,20,32,23
43,14,31,51,24,27
14,26,32,15,36,12
32,10,25,47,34,05
45,37,50,33,04,11
34,25,41,49,46,29
53,37,46,39,05,08
38,02,43,05,59,08
33,05,52,46,17,09
06,22,04,16,32,11
21,26,47,04,28,37
26,50,57,52,51,37
39,01,04,42,20,02
50,56,42,53,19,39
22,04,41,44,09,14
38,53,09,52,32,15
48,39,26,18,22,17
53,24,51,16,18,16
28,22,03,11,18,33
53,09,37,05,42,27
20,41,13,35,16,06
26,42,58,27,15,37
45,10,23,30,18,02
22,20,32,16,37,09
51,42,01,59,23,20
05,16,06,21,12,07
52,19,57,34,23,21
23,30,42,35,31,06
06,07,40,56,31,38
30,40,37,32,19,37
49,32,04,15,58,21
12,07,22,31,08,18
45,20,38,42,03,27
06,36,50,19,59,13
52,42,30,08,26,15
30,15,48,22,37,12
07,28,44,43,15,20
59,22,26,16,27,05
46,49,07,35,28,20
52,56,01,06,48,09
21,57,58,14,50,07
02,33,41,54,09,14
48,02,16,41,03,19
23,47,10,20,54,26
49,27,23,52,19,21
16,29,26,45,41,01
07,44,33,30,51,10
13,07,47,03,34,30
59,27,56,28,21,21
06,01,44,55,49,36
03,58,16,20,42,07
32,49,42,56,17,11
31,46,13,45,41,21
44,15,56,39,02,15
33,08,45,09,02,05
05,22,45,49,10,37
18,53,05,28,20,27
24,44,30,32,07,18
33,26,14,41,01,37
10,32,18,05,23,04
06,37,42,20,25,25
26,20,54,46,38,23
09,05,59,23,02,26
46,34,25,08,39,34
08,56,10,18,43,09
31,52,23,33,38,24
38,22,55,24,17,24
11,53,08,07,17,36
12,43,15,31,26,10
17,02,32,22,41,08
03,19,32,54,14,24
11,07,30,24,18,26
40,14,28,26,31,13
37,06,41,24,15,37
53,09,39,43,35,10
17,21,25,16,55,03
05,55,33,39,36,21
11,31,52,26,34,14
19,32,26,45,17,14
08,45,13,39,38,31
07,44,08,12,03,37
18,45,25,01,29,02
40,36,04,21,02,41
18,33,36,04,08,32
40,04,41,06,26,15
37,50,20,30,52,33
48,01,03,38,14,02
17,52,10,33,51,05
40,10,14,32,49,15
03,13,38,32,48,13
39,03,17,47,07,09
48,12,54,17,02,02
39,04,32,01,26,18
43,39,08,09,55,26
40,24,13,29,52,29
32,36,13,21,05,33
47,30,40,28,06,24
12,26,32,23,44,20
29,17,07,51,43,38
37,28,15,53,14,18
26,54,49,25,17,11
49,38,40,46,50,34
14,32,47,02,15,36
13,49,31,48,36,11
47,33,18,48,24,23
15,24,47,35,16,26
05,43,34,52,40,20
31,10,05,23,19,26
53,40,32,49,43,21
24,37,05,36,51,19
05,28,33,02,54,30
25,55,03,51,45,13
51,55,21,12,13,18
52,11,14,35,41,02
55,46,53,06,28,02
03,23,15,42,29,17
20,50,12,02,22,17
05,31,07,49,53,14
24,47,34,01,48,18
46,33,52,48,04,17
26,32,14,34,44,06
53,45,14,21,25,09
08,07,50,31,09,31
52,09,31,39,12,32
50,31,09,20,11,14
07,49,18,28,21,01
26,44,34,12,48,09
18,05,52,40,20,03
09,17,03,14,25,08
18,45,22,10,37,09
40,33,51,52,41,06
21,33,42,07,16,25
12,21,14,15,43,30
46,29,21,32,19,32
30,07,18,45,41,06
42,26,25,28,09,26
28,02,36,46,42,40
25,51,43,17,01,38
27,45,07,12,17,24
22,39,21,20,11,01
24,13,19,39,33,08
21,18,11,16,51,16
52,11,55,48,29,36
46,13,32,03,19,18
30,47,27,12,37,26
37,01,55,44,34,33
18,36,31,25,20,07
20,37,49,09,12,17
48,46,28,25,07,19
29,06,08,49,41,42
06,42,43,47,22,16
30,12,34,19,36,08
29,49,17,34,31,16
10,15,23,16,31,05
31,21,19,02,55,19
37,48,53,20,24,11
23,29,08,13,47,32
20,09,36,22,12,31
03,49,04,20,08,18
32,13,38,51,19,30
24,04,23,43,30,28
03,43,05,42,12,05
14,44,25,26,16,30
55,02,17,41,54,17
39,53,35,11,54,24
48,47,35,04,16,39
28,20,23,25,27,02
09,18,47,38,19,11
47,53,43,23,39,14
02,20,13,23,21,24
33,11,16,04,40,09
31,34,48,11,02,05
08,12,49,17,35,18
55,32,08,54,41,20
34,10,38,05,11,21
22,15,42,18,23,37
47,22,37,48,50,17
07,40,55,33,14,15
31,08,29,25,04,41
08,55,21,15,01,41
41,32,39,55,07,13
23,39,08,32,37,38
07,01,23,35,13,19
13,11,20,03,40,20
53,52,49,27,17,23
16,30,20,18,48,06
06,26,30,24,22,12
46,22,35,52,29,02
01,38,40,53,31,42
29,18,06,37,16,24
13,25,30,40,43,12
10,52,11,49,18,02
40,10,11,37,54,10
46,15,42,19,14,37
21,34,36,30,49,42
31,54,33,16,12,05
33,32,51,08,30,02
02,04,15,28,14,23
38,55,33,31,49,39
27,54,25,31,44,08
04,09,18,55,43,03
26,25,20,46,45,15
51,48,16,13,27,21
47,05,24,26,33,01
12,30,07,48,28,40
48,30,21,20,11,18
19,39,23,37,12,13
33,47,13,16,44,29
23,29,35,08,02,19
12,37,48,40,50,37
15,12,31,28,50,12
19,51,24,22,38,09
37,01,11,10,40,20
52,21,09,16,30,09
27,24,02,36,23,03
16,52,09,23,51,12
19,24,47,27,15,11
28,35,47,40,53,30
46,39,30,14,43,14
09,42,14,40,03,03
01,36,30,34,21,37
