WB1,WB2,WB3,WB4,WB5,PB
43,42,20,29,08,35
47,21,41,15,27,20
17,49,15,01,02,35
38,39,47,24,46,26
09,13,11,24,43,18
27,43,14,15,53,28
32,31,55,37,23,35
08,47,04,51,32,27
47,28,13,30,10,26
10,07,32,25,41,22
45,14,48,05,09,28
02,36,22,32,47,36
55,07,54,23,35,28
21,05,46,01,51,29
38,24,03,11,36,06
26,19,45,21,03,02
42,07,16,06,34,23
30,51,53,44,46,25
44,02,52,30,13,40
29,21,13,40,50,06
40,01,08,47,35,09
16,43,46,49,22,10
14,12,13,17,53,11
45,26,28,22,33,17
13,10,24,12,06,19
12,49,21,36,38,18
42,51,06,38,15,18
28,55,54,02,31,23
39,19,53,30,40,16
36,05,02,16,40,36
47,06,35,20,37,01
53,38,40,10,48,03
53,38,24,54,16,05
17,47,44,07,54,03
44,04,27,30,39,18
42,18,43,34,14,32
18,16,46,19,13,36
16,22,05,01,48,06
41,20,13,42,53,02
42,55,38,54,36,24
08,02,29,22,37,03
35,01,15,37,45,32
03,30,26,54,55,15
41,11,16,42,02,16
22,04,28,37,52,10
13,20,33,42,12,37
48,42,02,25,15,14
10,26,19,32,27,14
53,29,09,42,19,17
01,38,05,26,32,30
52,35,16,49,50,31
21,01,26,23,25,04
45,54,42,53,36,36
24,40,01,50,49,38
12,55,24,35,10,31
31,28,23,09,36,26
14,29,16,27,41,29
27,43,53,08,52,05
06,26,14,01,34,34
28,17,36,05,51,05
33,32,19,54,42,15
52,22,19,34,30,40
38,36,35,07,34,14
42,34,50,45,17,11
02,09,12,08,19,25
55,49,28,05,18,38
22,49,32,36,55,08
42,36,19,01,08,20
11,28,43,30,34,29
40,49,38,35,55,41
12,53,08,11,26,04
44,13,34,12,39,05
46,54,13,07,08,35
38,22,41,30,14,12
16,40,43,48,42,01
45,55,29,09,31,07
41,02,24,34,48,24
26,15,01,17,40,19
38,10,35,05,12,09
04,31,45,03,08,12
39,27,07,03,40,08
30,32,15,39,06,05
49,23,33,35,28,16
21,45,26,13,50,20
54,08,07,29,17,26
26,42,27,07,08,12
15,47,19,45,26,03
20,47,03,22,19,02
27,35,21,55,02,01
24,28,03,49,08,25
35,03,19,43,33,01
26,24,42,38,46,16
17,08,51,24,38,31
12,51,29,22,26,09
22,02,13,50,48,02
14,54,27,18,13,32
52,19,43,41,16,35
48,50,03,09,02,23
24,19,10,16,13,15
14,39,55,19,26,29
10,05,24,17,43,31
40,47,14,55,54,06
44,50,02,38,32,21
36,20,47,50,35,05
31,33,30,18,19,15
50,44,49,32,37,13
26,52,39,41,53,20
40,35,42,02,31,34
45,51,08,16,02,32
39,08,47,11,30,23
11,19,22,43,45,34
39,48,20,22,10,25
04,40,14,48,15,12
36,54,24,26,16,11
20,10,04,26,40,08
20,05,18,50,06,35
49,22,20,43,10,03
41,06,27,23,47,19
03,12,47,51,02,10
23,02,09,44,45,38
15,26,24,35,17,38
30,54,19,47,28,13
04,03,11,44,37,24
38,12,32,23,25,27
38,19,06,42,04,37
19,40,35,30,41,14
55,26,48,24,12,14
04,06,27,05,18,24
32,53,34,05,28,10
46,23,13,28,18,33
34,41,26,35,16,24
35,04,43,44,23,35
29,39,09,24,03,42
55,10,50,01,23,29
24,28,54,02,14,13
20,37,34,45,39,32
45,38,23,22,18,31
25,01,36,42,34,19
36,48,54,07,12,37
54,37,35,52,16,33
05,07,21,01,43,20
13,52,22,55,27,26
25,10,35,41,38,23
51,03,48,46,37,22
47,53,23,55,09,39
44,48,15,43,17,29
39,35,03,13,40,37
38,07,51,40,52,14
48,32,25,14,54,10
38,30,04,13,12,30
13,30,55,11,35,37
26,15,28,36,14,36
52,37,50,43,10,14
54,18,03,39,43,41
53,38,15,29,52,07
49,14,06,46,40,17
18,14,03,17,06,14
02,21,43,32,16,06
23,10,48,54,42,03
43,04,46,30,37,42
12,46,15,54,30,01
04,10,34,50,33,14
23,43,12,16,09,37
24,44,53,36,46,18
45,15,08,16,51,11
45,34,42,03,21,39
45,30,54,41,19,14
02,26,42,15,37,36
42,23,19,27,52,01
34,28,53,37,45,32
24,25,09,27,12,33
15,54,20,41,08,22
05,20,44,21,18,27
48,41,17,55,37,39
05,49,14,13,31,30
37,25,50,29,07,17
41,14,06,11,27,38
41,50,22,19,14,21
43,39,02,42,10,23
36,06,53,51,07,17
49,21,44,07,43,29
34,01,07,08,45,15
54,51,09,18,04,10
26,31,35,50,46,28
25,30,45,02,15,17
18,54,38,08,45,23
07,22,27,48,50,17
02,10,43,55,31,14
35,28,34,03,50,08
49,52,05,09,27,06
24,50,21,42,49,01
10,11,08,48,50,16
32,50,12,40,54,37
30,03,31,01,43,36
17,19,13,50,41,13
08,39,31,44,22,11
35,09,26,11,51,32
27,13,28,29,49,36
08,43,53,30,03,15
02,37,43,18,01,37
31,13,49,38,36,02
09,01,19,36,53,33
39,05,24,19,28,24
14,38,35,08,46,24
04,13,10,29,01,03
28,13,20,32,16,36
51,07,32,39,06,31
50,33,32,41,08,22
05,23,43,04,13,34
53,39,08,09,47,04
12,25,48,02,30,38
29,09,10,52,39,20
42,08,49,22,03,39
28,32,40,07,31,14
13,51,42,23,09,15
10,05,24,16,08,05
39,20,22,14,44,14
03,46,10,24,14,37
36,10,43,40,42,42
16,44,07,38,48,18
34,50,39,42,15,12
39,24,05,28,07,36
29,46,27,31,42,33
07,30,05,10,02,23
17,07,20,13,35,35
49,21,29,38,52,42
46,49,05,48,25,06
47,44,23,21,39,19
27,33,40,10,21,02
08,48,32,15,17,24
42,11,32,13,18,04
15,08,50,09,13,09
07,16,33,34,46,27
11,44,38,51,45,41
37,51,06,13,52,25
46,11,01,35,53,29
05,14,11,51,22,17
11,09,05,17,46,39
28,39,22,32,33,42
35,12,09,51,41,36
29,23,40,45,37,38
41,01,21,32,28,09
19,38,11,25,50,35
40,23,52,46,07,41
20,17,10,23,45,31
40,09,27,53,13,28
48,18,46,03,10,08
33,22,49,30,08,06
04,48,15,10,51,13
12,15,18,52,27,36
48,21,41,27,25,25
50,21,28,18,49,16
10,15,09,18,29,09
44,11,34,47,37,23
16,44,40,10,11,02
41,29,20,16,11,12
05,32,48,47,43,33
33,32,34,11,23,38
49,32,09,18,33,27
37,49,21,51,26,25
50,21,27,38,23,38
11,22,24,09,43,02
10,07,37,04,30,37
47,22,23,26,44,12
44,33,29,38,24,07
39,29,32,53,45,16
07,11,31,24,02,18
30,01,29,25,45,12
38,01,53,11,06,11
16,53,41,07,06,23
17,13,50,35,45,02
30,09,22,06,16,04
44,28,36,38,03,01
16,35,47,36,28,31
47,49,53,03,19,04
45,50,48,04,29,01
31,15,46,25,36,37
33,34,26,05,06,13
14,43,45,21,29,26
18,22,33,40,38,19
48,43,45,11,35,42
20,27,48,40,30,11
40,51,44,11,17,21
49,50,15,52,24,40
41,46,11,17,01,24
22,42,05,36,20,11
17,45,46,05,14,41
10,48,47,03,01,27
50,19,44,05,06,28
32,35,29,13,02,04
35,16,37,28,33,17
41,11,40,48,25,03
37,06,34,14,40,07
14,36,31,02,27,09
28,17,01,50,08,20
36,25,49,46,34,09
28,04,02,33,52,18
46,15,26,25,13,28
44,45,33,51,31,31
35,06,30,45,39,31
32,01,50,30,37,19
40,27,39,16,03,03
35,40,42,33,31,40
04,10,43,18,11,41
10,33,05,51,29,35
16,34,09,08,48,08
37,11,26,22,51,21
47,31,14,35,45,35
40,04,39,19,50,22
52,29,02,03,13,25
42,38,46,31,03,02
23,45,50,20,36,09
09,49,24,45,50,37
17,44,23,16,26,13
41,34,30,25,18,10
03,30,08,47,12,23
47,45,02,31,29,04
17,47,09,32,41,08
16,20,09,12,39,01
02,37,36,48,09,16
16,18,48,39,26,22
06,52,48,43,20,28
31,50,37,01,33,40
41,05,42,39,26,39
26,06,12,29,05,30
01,16,32,39,30,02
38,10,31,03,35,16
01,49,42,36,07,41
31,14,41,37,15,31
01,26,46,27,43,31
42,45,11,31,35,35
37,03,43,09,17,39
21,25,16,09,32,08
01,34,47,10,39,33
27,34,52,49,42,23
02,44,35,13,22,28
11,08,51,42,34,27
41,04,42,34,29,11
38,22,01,20,06,22
02,48,30,09,47,40
07,37,02,35,16,10
43,07,26,06,32,13
15,31,39,34,50,35
30,17,02,15,34,32
39,47,43,20,18,31
44,14,24,27,02,06
24,15,20,43,07,05
50,44,11,48,45,02
10,41,22,20,49,06
49,46,17,51,09,09
23,11,17,53,05,34
25,52,53,06,26,40
04,47,17,11,05,35
22,26,53,48,15,14
50,36,24,04,44,02
25,10,35,43,24,32
05,50,52,16,28,04
46,39,31,35,34,03
17,07,32,25,12,33
37,06,03,27,41,38
17,13,08,39,48,34
01,38,37,05,53,31
17,45,41,34,13,17
48,32,09,45,08,15
44,33,12,50,40,40
13,02,27,19,50,05
44,04,18,14,07,25
42,04,22,05,41,02
05,07,28,18,35,01
17,34,32,16,43,31
01,44,06,34,31,25
48,24,12,25,20,37
43,15,18,21,19,07
17,25,44,19,26,19
40,04,17,26,37,15
24,45,21,41,37,39
37,01,43,10,35,30
39,14,43,51,36,15
16,01,03,41,37,19
45,09,12,29,17,04
36,42,26,16,47,33
20,08,22,32,52,39
22,11,07,19,20,01
05,24,52,38,08,22
20,38,27,06,39,31
34,19,37,47,16,18
22,34,19,08,53,29
06,17,48,45,47,04
53,27,25,03,28,35
35,22,25,34,33,14
29,06,39,52,09,08
11,32,45,14,21,21
06,25,07,08,01,18
08,13,29,44,48,36
50,05,04,21,19,41
48,20,09,41,30,29
28,47,19,20,17,37
13,33,11,31,28,29
32,02,19,34,24,02
32,28,06,19,10,39
03,33,30,17,29,34
41,15,06,20,18,17
19,09,06,24,40,31
35,49,41,36,09,33
31,46,36,42,24,32
39,50,51,46,01,07
35,22,46,48,08,15
15,20,42,37,13,07
44,26,48,35,31,32
25,40,18,23,26,15
48,11,14,26,31,30
41,42,17,40,46,25
26,31,49,22,18,28
09,34,30,10,32,11
51,37,34,16,04,38
34,48,29,14,30,01
30,18,49,28,27,20
50,51,06,16,52,23
19,26,21,31,51,40
17,49,05,25,37,21
26,17,24,45,16,36
44,14,07,41,09,25
43,05,35,50,26,04
27,15,19,44,36,17
19,45,21,20,46,20
12,42,50,40,26,03
44,46,16,12,43,38
27,17,11,40,26,06
26,53,24,14,02,01
46,26,52,10,30,35
17,06,16,19,38,16
49,10,48,42,50,42
41,32,30,04,35,09
18,42,13,05,50,04
34,52,45,20,33,21
01,02,06,20,10,38
13,35,18,51,34,28
14,40,39,47,21,06
32,13,17,33,07,35
36,11,13,05,22,31
51,14,23,15,31,34
48,10,18,40,46,30
39,50,41,25,04,31
17,52,27,35,28,02
38,51,06,28,35,41
46,14,49,07,23,20
47,17,50,12,35,13
25,02,17,09,36,08
52,28,10,40,31,41
29,05,31,49,47,25
19,37,47,51,40,40
45,52,41,30,12,35
24,44,52,25,05,20
20,45,01,21,05,24
37,28,44,02,24,06
28,07,06,27,41,03
34,27,23,31,10,11
10,02,09,06,05,26
16,11,44,17,06,26
29,01,42,38,26,30
49,07,12,19,47,06
21,23,13,20,02,35
02,07,48,09,05,32
11,02,39,21,16,42
12,53,30,27,10,28
10,15,51,12,49,21
40,30,20,28,43,03
34,04,52,48,17,10
17,42,44,30,04,15
09,46,48,45,51,02
44,16,22,46,26,20
11,39,01,40,37,23
42,43,34,53,18,17
50,02,15,38,43,29
53,14,05,16,29,07
39,34,52,05,22,30
52,50,14,33,02,22
42,44,24,17,08,37
06,14,22,12,33,21
17,27,32,03,48,01
35,13,20,21,40,35
19,01,04,21,29,08
01,25,40,53,20,19
49,21,15,19,16,05
14,22,44,21,29,03
40,51,32,33,35,01
50,18,23,38,31,20
53,38,30,40,36,08
09,19,17,12,11,23
34,35,15,32,08,34
09,23,41,19,16,12
33,14,12,39,27,41
18,30,02,14,31,36
04,42,18,25,20,29
08,31,24,37,11,41
23,49,46,52,26,28
09,38,43,10,42,05
22,14,39,43,19,12
04,05,43,02,38,34
24,22,12,35,31,08
49,36,23,12,01,09
45,11,28,40,03,33
44,42,06,27,32,10
14,05,40,26,31,29
06,03,39,26,48,28
24,12,19,34,06,18
26,15,18,36,31,20
14,22,12,29,41,41
38,36,30,24,37,42
24,18,45,05,10,20
48,01,47,06,43,36
46,33,03,42,26,41
19,04,33,16,41,29
11,16,21,35,27,31
13,40,35,47,46,35
34,24,33,13,19,41
02,04,34,22,06,26
17,05,44,22,02,30
16,19,34,37,22,20
13,03,02,26,06,10
25,10,40,11,45,25
22,49,42,03,37,08
31,43,37,45,26,32
02,39,27,09,36,13
07,19,38,48,49,10
45,04,35,33,36,22
09,24,17,23,06,14
16,37,01,48,26,09
04,07,03,11,01,23
16,42,08,07,43,15
49,39,27,13,18,20
48,46,26,42,37,38
18,01,21,36,47,33
17,27,02,06,19,02
49,28,18,35,31,13
29,09,42,33,30,27
20,05,22,34,23,19
25,02,32,31,18,01
30,33,37,36,49,35
03,36,15,16,40,22
11,06,34,25,28,35
12,06,09,20,07,20
48,03,26,32,45,06
12,18,01,33,09,14
13,01,16,43,33,01
40,27,34,44,42,08
02,23,36,03,22,22
38,16,22,33,32,13
29,17,12,07,48,21
22,16,30,15,35,20
14,36,08,29,17,03
29,13,08,16,19,37
35,43,15,40,46,33
39,02,10,48,01,13
04,20,30,49,25,37
45,16,38,37,10,14
04,28,27,49,33,39
02,49,12,38,44,19
30,38,05,15,07,02
06,25,46,22,36,34
02,06,19,45,01,27
15,21,38,19,08,33
19,08,09,25,22,11
31,42,19,45,32,06
43,33,38,10,02,19
30,35,21,17,36,12
28,10,34,24,35,32
27,45,19,43,12,28
07,21,15,09,40,18
05,14,22,30,15,31
14,47,32,18,30,36
21,35,49,41,23,05
24,34,31,47,40,30
13,41,19,22,47,05
39,07,40,42,43,04
07,08,32,17,14,15
36,46,23,44,42,33
45,10,43,27,15,31
19,39,23,41,08,21
27,33,14,24,34,06
35,43,36,20,26,23
11,22,13,08,37,17
35,43,47,20,04,27
35,17,48,31,26,35
14,09,08,13,21,37
48,46,41,06,38,37
48,24,05,15,18,16
27,37,42,12,10,30
31,28,38,41,27,13
07,35,27,01,10,34
17,28,30,04,40,03
07,13,33,38,16,13
25,04,17,02,06,31
14,37,06,49,36,20
02,18,16,40,35,41
17,28,10,01,45,20
27,06,15,42,24,32
40,16,47,07,33,33
46,07,40,05,29,05
37,40,41,46,48,20
08,16,01,07,19,37
31,21,09,05,01,12
23,35,20,02,49,25
15,02,29,47,21,12
35,18,30,26,44,19
27,42,39,34,23,40
31,28,21,41,26,29
33,43,28,49,19,23
47,25,39,13,35,01
12,28,13,48,06,26
14,42,18,33,24,08
27,07,30,44,24,29
35,09,49,04,32,28
17,08,42,22,47,21
02,36,39,30,28,10
22,14,03,20,48,17
37,40,44,29,43,06
14,41,11,25,20,08
37,25,41,10,02,02
16,26,46,24,20,09
39,26,24,34,25,31
33,36,04,23,45,29
37,16,29,39,23,17
19,27,20,15,03,20
09,04,31,26,49,02
27,15,01,13,41,02
16,24,26,10,18,13
09,34,22,46,03,17
30,25,03,28,26,10
33,03,06,34,39,15
07,13,16,03,35,22
42,38,40,06,35,36
05,09,49,18,14,32
44,17,13,02,45,14
41,09,32,36,34,14
37,23,42,43,20,27
10,40,45,20,21,22
10,45,48,26,17,38
12,36,28,43,11,09
09,10,40,24,21,36
34,21,49,32,19,38
49,47,10,06,21,02
28,20,44,13,12,17
11,36,28,16,29,21
49,22,14,19,09,34
07,20,45,09,19,05
42,02,36,19,30,19
01,20,11,39,34,37
39,28,14,29,26,39
24,38,05,25,30,40
06,18,11,20,44,39
03,16,30,08,29,04
21,04,41,32,39,31
37,20,41,31,18,01
05,43,16,12,13,11
11,39,41,27,37,42
27,43,31,12,04,20
02,28,37,40,49,22
13,18,14,20,21,16
36,16,18,15,20,18
42,22,27,49,12,34
30,19,12,26,33,11
32,09,23,45,40,31
44,36,23,09,08,15
03,47,46,09,01,22
41,30,49,34,29,37
32,04,10,39,45,25
31,39,22,41,04,06
41,29,05,42,18,16
46,16,41,38,47,25
07,06,33,31,04,20
29,27,44,21,41,09
27,15,21,47,37,16
45,19,41,32,08,37
39,49,31,34,42,26
36,25,11,01,29,40
48,16,31,09,28,36
42,19,23,14,29,26
23,22,35,06,09,06
22,43,01,24,39,26
29,09,49,19,38,20
46,38,29,23,26,35
24,15,32,22,39,18
27,06,11,15,22,27
04,31,34,07,41,28
26,34,02,33,39,23
06,19,38,10,43,41
14,41,10,08,42,20
20,15,45,07,23,17
22,14,38,41,11,39
29,01,20,27,04,17
37,02,39,38,42,22
44,18,05,40,47,34
27,31,41,03,32,33
26,12,46,32,41,18
21,38,12,04,46,37
37,49,17,45,13,04
34,05,22,42,09,02
10,29,14,04,39,10
37,32,06,11,47,13
45,05,46,03,20,37
24,45,13,19,44,16
17,42,21,43,28,25
16,22,18,41,14,37
32,44,45,26,41,35
04,07,39,34,27,01
24,16,48,34,03,03
24,19,32,44,43,39
24,47,44,32,42,15
35,01,17,36,27,31
17,45,23,33,21,11
19,47,01,40,49,14
21,02,22,47,13,31
18,42,14,29,20,02
28,06,04,12,42,06
05,26,22,14,20,35
25,29,36,46,04,08
40,43,27,22,16,05
43,28,47,20,40,31
17,36,23,10,13,23
44,16,15,47,27,14
46,47,31,06,38,21
18,28,19,11,17,34
32,38,28,13,33,14
12,42,49,33,27,31
38,24,26,11,41,07
03,37,20,22,44,36
12,02,33,15,41,33
36,05,08,18,38,40
21,05,08,49,46,34
09,10,48,06,26,10
10,02,39,34,07,12
32,18,10,14,33,02
42,14,22,13,32,26
27,24,30,13,45,18
49,13,26,27,02,04
43,01,28,27,24,25
25,15,47,44,06,07
23,21,42,32,34,05
47,02,32,40,16,15
46,45,19,39,49,17
31,37,13,14,15,10
22,15,42,43,16,11
30,29,02,44,22,36
07,47,19,43,46,04
40,05,48,17,44,26
17,20,49,16,28,34
38,01,42,27,03,24
31,47,20,18,08,11
39,04,27,29,41,16
05,48,41,34,13,07
12,14,35,26,36,37
37,24,10,05,17,15
48,03,09,05,42,35
08,20,49,09,03,22
28,26,48,40,15,09
31,20,04,25,06,06
33,04,48,12,09,18
06,11,18,08,39,40
04,03,29,38,13,21
40,12,32,37,49,37
06,48,43,30,45,32
41,03,12,46,30,32
30,43,46,12,39,10
19,44,15,38,14,20
23,11,31,02,28,39
36,17,14,11,25,38
06,43,08,48,03,01
22,30,38,21,29,39
49,09,07,23,37,07
32,12,20,16,26,35
45,24,14,23,48,21
31,10,12,09,41,37
45,37,44,21,24,24
40,36,49,05,29,30
44,11,41,34,06,20
16,06,10,12,29,33
28,08,32,06,47,26
46,43,18,25,30,18
41,32,04,34,16,25
12,37,31,35,44,34
40,01,06,21,33,28
32,09,44,38,41,27
28,07,35,40,48,14
15,05,16,28,32,39
36,13,23,09,45,39
43,11,16,03,14,10
19,39,29,06,44,28
43,23,42,13,11,18
43,03,02,25,15,25
35,33,47,19,32,26
47,10,06,31,48,29
34,13,44,40,47,24
38,25,36,22,05,37
32,14,47,20,03,02
16,24,38,28,03,28
43,02,15,04,37,40
05,06,18,44,42,03
27,20,11,48,43,12
26,13,32,16,34,24
43,40,19,13,31,36
08,05,12,40,25,28
07,03,08,01,26,07
26,41,33,37,10,21
31,24,20,39,17,21
32,15,12,37,27,11
02,20,19,29,16,13
05,40,18,22,12,21
23,15,44,38,43,38
20,08,43,39,27,01
07,06,38,42,15,42
48,35,15,12,25,30
29,46,11,41,22,42
33,41,36,32,15,07
08,33,38,35,47,08
02,46,26,34,08,30
37,12,01,42,48,31
37,04,32,42,33,25
08,43,22,39,15,22
23,22,34,26,14,29
09,37,39,36,32,14
38,39,25,14,18,07
45,11,13,21,34,30
17,45,28,42,02,20
08,05,26,41,09,19
06,39,05,45,01,14
05,07,43,12,10,07
42,49,45,01,44,01
24,33,35,04,18,34
45,18,43,46,26,29
22,25,31,23,32,25
04,23,45,47,33,33
26,13,31,04,29,03
37,40,36,30,48,28
25,32,06,29,01,09
35,17,07,44,37,30
41,03,06,37,17,08
01,07,08,37,21,02
05,20,40,10,12,03
22,15,38,47,08,26
15,12,23,17,49,07
46,02,23,38,27,26
02,04,38,14,08,01
28,26,35,45,17,20
32,35,07,48,38,17
49,08,37,02,16,11
48,24,04,20,46,32
43,36,35,05,45,19
36,26,34,29,37,24
36,18,06,43,15,11
24,35,04,41,09,31
04,38,24,27,30,14
05,12,40,38,04,28
25,47,34,28,30,14
07,40,09,31,26,24
20,09,27,07,26,18
42,05,12,18,07,14
03,48,45,01,35,18
03,11,45,41,32,29
18,40,25,43,15,37
25,10,40,19,12,33
03,34,45,42,24,01
26,05,37,39,31,42
01,04,10,17,30,06
16,03,15,39,28,01
12,45,13,05,48,35
19,20,27,07,26,12
20,41,04,40,22,07
09,15,31,40,37,09
11,49,08,42,44,39
34,26,49,14,01,15
25,42,19,13,20,13
01,44,42,12,08,13
30,13,46,20,32,36
46,15,40,29,08,23
16,39,24,06,15,12
36,25,21,22,10,39
18,04,35,27,09,11
31,42,10,27,20,26
25,48,39,15,32,32
39,42,26,20,30,32
19,40,25,24,45,05
20,23,04,44,02,22
03,49,30,19,26,31
12,02,40,19,48,27
02,40,28,15,20,15
31,15,33,47,43,06
27,05,10,11,32,13
16,44,02,09,13,36
23,26,39,04,17,27
38,34,46,20,10,03
17,27,29,07,41,33
45,29,31,39,46,33
05,15,45,17,03,06
03,32,19,27,08,38
29,40,16,12,26,32
40,12,43,48,33,16
31,19,09,27,20,39
45,29,36,04,22,30
11,04,43,06,02,09
06,33,48,13,10,09
15,14,21,01,35,10
21,25,33,39,46,18
41,35,10,16,03,38
48,36,14,25,10,02
05,33,10,13,30,28
17,02,36,08,30,22
17,42,33,37,34,08
44,24,35,09,08,42
12,25,17,10,40,20
24,27,22,44,39,25
44,48,47,32,28,27
26,14,18,32,15,06
01,19,08,28,45,25
15,08,26,09,06,07
05,25,32,14,22,04
02,08,03,12,36,24
25,24,05,03,02,08
01,21,42,22,05,18
41,35,19,37,01,11
40,35,06,24,42,02
19,28,33,16,35,16
42,46,12,04,19,09
26,49,10,16,08,40
28,29,44,40,21,08
13,18,14,29,31,23
06,32,46,23,42,08
21,22,11,07,49,19
08,23,43,15,46,29
37,12,49,27,30,20
10,42,33,02,45,02
45,42,05,09,33,28
42,35,19,12,03,21
04,25,20,44,01,05
39,08,43,45,49,13
23,14,03,21,17,16
30,49,01,23,22,33
10,40,14,08,33,31
16,21,36,23,11,37
10,12,01,06,38,17
19,05,16,34,29,24
39,25,38,15,30,42
03,17,29,35,47,34
07,10,31,30,36,37
27,18,16,30,13,23
49,27,26,31,09,04
36,35,07,37,14,10
21,23,06,08,03,11
12,36,38,19,04,06
24,42,26,16,28,24
31,22,25,41,35,38
03,45,29,24,14,24
46,27,15,33,02,27
15,16,35,46,01,35
09,30,48,34,04,08
22,01,41,28,23,18
02,36,13,30,18,26
08,49,34,29,26,28
20,47,45,44,11,05
49,03,37,19,14,04
25,46,08,47,30,31
35,05,38,07,20,19
13,04,49,29,31,04
22,24,45,19,30,21
41,25,08,24,39,21
49,48,05,36,15,11
03,24,30,49,10,35
08,03,23,46,43,13
47,33,11,34,12,39
27,44,33,38,30,15
42,44,35,23,05,29
38,34,04,35,47,16
04,41,39,02,33,26
15,47,35,34,42,15
02,17,36,24,05,20
32,36,42,30,21,33
39,30,19,03,33,09
49,26,04,45,41,06
30,43,02,20,46,19
22,47,29,39,09,25
01,33,28,29,21,15
41,23,05,39,07,06
37,34,33,25,35,35
40,12,15,05,27,14
30,25,12,08,21,20
13,36,48,07,11,18
23,48,36,15,31,12
07,23,15,28,36,10
31,32,23,01,26,33
28,09,49,38,29,06
16,09,06,28,38,13
17,09,07,44,20,25
18,04,30,37,03,23
04,09,27,07,32,06
27,14,06,04,05,06
14,48,15,36,09,17
28,16,35,34,03,14
23,11,12,17,10,07
03,05,45,18,13,20
44,41,46,35,05,27
18,21,28,41,04,03
15,26,28,08,43,36
18,09,14,47,42,32
11,27,13,02,31,23
15,46,34,23,40,35
22,31,03,07,14,02
19,10,48,03,21,22
32,07,45,21,26,08
41,14,13,29,16,01
40,17,21,07,49,37
02,19,35,24,28,26
37,28,33,22,25,20
